[-4.5 -4.5],[0.07192548 0.42807752 0.42807153 0.07192548]
[-3.5 -4.5],[0.04836164 0.         0.80760332 0.14403504]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.         0.81617735 0.03993168 0.14389097]
[-0.5 -4.5],[0.02536815 0.80825459 0.02251588 0.14386137]
[ 0.5 -4.5],[0.02561098 0.83050685 0.         0.14388218]
[ 1.5 -4.5],[2.49379235e-02 8.31182693e-01 1.46266055e-06 1.43877921e-01]
[ 2.5 -4.5],[0.02492253 0.0465295  0.78465759 0.14389038]
[ 3.5 -4.5],[0.44499939 0.02405779 0.38695358 0.14398923]
[ 4.5 -4.5],[0.88514049 0.05702047 0.         0.05783904]
[-4.5 -3.5],[1.43887491e-01 8.07493477e-01 2.62397751e-04 4.83566345e-02]
[-3.5 -3.5],[2.56397177e-02 9.48701531e-01 1.06080722e-05 2.56481431e-02]
[-2.5 -3.5],[0.02183081 0.94905765 0.02911153 0.        ]
[-1.5 -3.5],[0.02181745 0.45976813 0.         0.51841442]
[-0.5 -3.5],[0.045013   0.         0.03461256 0.92037445]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[9.02427618e-01 3.89226180e-04 4.41933838e-02 5.29897722e-02]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0.         0.         0.28834221 0.71165779]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.         0.         0.40236559 0.59763441]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[4.91153229e-04 4.49914418e-02 2.25769291e-02 9.31940476e-01]
[ 3.5 -2.5],[0.45175441 0.0128066  0.03079404 0.50464495]
[ 4.5 -2.5],[0.36948835 0.         0.63051165 0.        ]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.00083732 0.82391752 0.0985526  0.07669255]
[-1.5 -1.5],[2.50597564e-02 8.72167986e-01 1.02319780e-01 4.52477660e-04]
[-0.5 -1.5],[0.02366071 0.84519432 0.07694005 0.05420492]
