[-4.5 -4.5],[0.12762667 0.15822718 0.58651948 0.12762667]
[-3.5 -4.5],[4.12109498e-01 2.23897240e-05 3.32456954e-01 2.55411159e-01]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[4.32826516e-06 1.83518526e-01 5.61101911e-01 2.55375235e-01]
[-0.5 -4.5],[0.35532613 0.10198507 0.28733186 0.25535695]
[ 0.5 -4.5],[6.39398318e-01 1.05219858e-01 1.67614458e-05 2.55365062e-01]
[ 1.5 -4.5],[6.19755111e-01 1.24851313e-01 3.18391709e-05 2.55361737e-01]
[ 2.5 -4.5],[0.52233034 0.12590199 0.09639855 0.25536912]
[ 3.5 -4.5],[0.51790169 0.08762396 0.13914732 0.25532702]
[ 4.5 -4.5],[7.44112814e-01 1.27706694e-01 4.73797265e-04 1.27706694e-01]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[7.26823172e-01 7.70722595e-02 1.86775347e-05 1.96085891e-01]
[-2.5 -3.5],[8.46482338e-01 8.25778595e-02 7.09237963e-02 1.60059035e-05]
[-1.5 -3.5],[7.89771634e-01 9.40009850e-02 1.10189962e-05 1.16216362e-01]
[-0.5 -3.5],[6.93939236e-01 1.88412818e-05 7.90486379e-02 2.26993285e-01]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1.87140721e-04 1.81667825e-01 1.41774975e-01 6.76370059e-01]
[ 3.5 -3.5],[3.58905884e-01 3.46804562e-04 1.71966351e-01 4.68780961e-01]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[7.70233790e-05 9.71468358e-05 8.08740056e-02 9.18951824e-01]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.00000000e+00 1.08326514e-05 1.75790614e-01 8.24198553e-01]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[0.00051594 0.22046288 0.31893937 0.46008182]
[ 3.5 -2.5],[0.29589135 0.13200868 0.19315009 0.37894988]
[ 4.5 -2.5],[0.49253472 0.25559895 0.25125327 0.00061306]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[6.29773453e-05 1.01818876e-01 8.99516747e-02 8.08166472e-01]
[-1.5 -1.5],[0.6411148  0.18537843 0.17350677 0.        ]
[-0.5 -1.5],[0.35324037 0.09934196 0.17535804 0.37205963]
[ 0.5 -1.5],[0.65185502 0.10559537 0.24254961 0.        ]
[ 1.5 -1.5],[6.18474450e-01 1.39193035e-01 2.42033027e-01 2.99488485e-04]
[ 2.5 -1.5],[0.46791847 0.13348299 0.19434825 0.2042503 ]
[ 3.5 -1.5],[4.88562308e-01 1.72468206e-01 4.66620238e-04 3.38502866e-01]
[ 4.5 -1.5],[0.38166506 0.25492352 0.10417525 0.25923617]
[-4.5 -0.5],[0.22324069 0.56735754 0.20940177 0.        ]
[-3.5 -0.5],[0.12006956 0.77653035 0.10340008 0.        ]
[-2.5 -0.5],[0.08354994 0.19610593 0.         0.72034413]
[-1.5 -0.5],[0.33292622 0.1859608  0.10585721 0.37525577]
[-0.5 -0.5],[0.34903528 0.13868098 0.14036476 0.37191898]
[ 0.5 -0.5],[0.47428086 0.10554576 0.15108121 0.26909217]
[ 1.5 -0.5],[0.61852004 0.11259045 0.         0.26888951]
[ 2.5 -0.5],[5.82223994e-01 2.14541022e-04 8.28816229e-02 3.34679842e-01]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.         0.25596285 0.11913746 0.6248997 ]
[-4.5  0.5],[0.29903342 0.19887452 0.17639592 0.32569614]
[-3.5  0.5],[0.32394921 0.         0.05536399 0.62068681]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[0.         0.25380415 0.11870124 0.62749462]
[-0.5  0.5],[0.26309363 0.14386839 0.13126027 0.46177772]
[0.5 0.5],[4.34881178e-01 5.44959385e-05 1.28771130e-01 4.36293195e-01]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[0.00348075 0.0017491  0.17846925 0.8163009 ]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.         0.26403984 0.18153118 0.55442898]
[-4.5  1.5],[0.26188695 0.19286009 0.00471712 0.54053585]
[-3.5  1.5],[0.30651232 0.32022562 0.         0.37326206]
[-2.5  1.5],[0.32750885 0.66533242 0.         0.00715873]
[-1.5  1.5],[0.11015499 0.26283523 0.10548512 0.52152466]
[-0.5  1.5],[0.22306906 0.17035917 0.10036002 0.50621175]
[0.5 1.5],[0.43012733 0.07829246 0.00407907 0.48750114]
[1.5 1.5],[0.88075457 0.11924543 0.         0.        ]
[2.5 1.5],[0.53398529 0.10969517 0.00513413 0.35118541]
[3.5 1.5],[0.75832617 0.24167383 0.         0.        ]
[4.5 1.5],[0.3002296  0.24660157 0.10036672 0.3528021 ]
[-4.5  2.5],[1. 0. 0. 0.]
[-3.5  2.5],[1. 0. 0. 0.]
[-2.5  2.5],[1. 0. 0. 0.]
[-1.5  2.5],[0.         0.27448684 0.13016173 0.59535144]
[-0.5  2.5],[0.17113344 0.01358815 0.0854231  0.7298553 ]
[0.5 2.5],[1. 0. 0. 0.]
[1.5 2.5],[1. 0. 0. 0.]
[2.5 2.5],[1. 0. 0. 0.]
[3.5 2.5],[1. 0. 0. 0.]
[4.5 2.5],[0.04891088 0.32337237 0.07224119 0.55547556]
[-4.5  3.5],[1. 0. 0. 0.]
[-3.5  3.5],[1. 0. 0. 0.]
[-2.5  3.5],[1. 0. 0. 0.]
[-1.5  3.5],[0.19632745 0.51688919 0.19357048 0.09321288]
[-0.5  3.5],[0.         0.02583118 0.12721684 0.84695198]
[0.5 3.5],[1. 0. 0. 0.]
[1.5 3.5],[1. 0. 0. 0.]
[2.5 3.5],[1. 0. 0. 0.]
[3.5 3.5],[1. 0. 0. 0.]
[4.5 3.5],[0. 0. 0. 1.]
[-4.5  4.5],[1. 0. 0. 0.]
[-3.5  4.5],[1. 0. 0. 0.]
[-2.5  4.5],[1. 0. 0. 0.]
[-1.5  4.5],[1. 0. 0. 0.]
[-0.5  4.5],[0.01261414 0.03592736 0.8572705  0.09418799]
[0.5 4.5],[1. 0. 0. 0.]
[1.5 4.5],[1. 0. 0. 0.]
[2.5 4.5],[1. 0. 0. 0.]
[3.5 4.5],[1. 0. 0. 0.]
[4.5 4.5],[0.1878875 0.        0.        0.8121125]
