[-4.5 -4.5],[0.06710029 0.43291311 0.43288631 0.06710029]
[-3.5 -4.5],[4.17473600e-02 4.64648547e-05 8.23844147e-01 1.34362028e-01]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.         0.41842788 0.46574387 0.11582825]
[-0.5 -4.5],[0.05697293 0.02432775 0.78046891 0.13823041]
[ 0.5 -4.5],[0.73798116 0.         0.         0.26201884]
[ 1.5 -4.5],[0.8502678 0.        0.        0.1497322]
[ 2.5 -4.5],[0.86784871 0.         0.         0.13215129]
[ 3.5 -4.5],[0.         0.56438843 0.43561157 0.        ]
[ 4.5 -4.5],[0.69605807 0.15197097 0.         0.15197097]
[-4.5 -3.5],[1.34236623e-01 8.23728086e-01 4.12102030e-04 4.16231897e-02]
[-3.5 -3.5],[2.18838485e-02 9.56180696e-01 5.06424110e-05 2.18848132e-02]
[-2.5 -3.5],[0.01883704 0.07473279 0.90643017 0.        ]
[-1.5 -3.5],[0.24107246 0.71942978 0.         0.03949776]
[-0.5 -3.5],[0.02506812 0.         0.95178082 0.02315106]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[0. 0. 1. 0.]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0.         0.         0.98008914 0.01991086]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[4.57128686e-04 4.11971965e-04 9.79942999e-01 1.91879004e-02]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[0. 0. 1. 0.]
[ 3.5 -2.5],[0.86339154 0.03938249 0.09722597 0.        ]
[ 4.5 -2.5],[0.55644454 0.         0.44355546 0.        ]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[8.44665763e-06 5.11011130e-01 4.70585201e-01 1.83952216e-02]
[-1.5 -1.5],[3.52992970e-02 1.10595644e-01 8.54090194e-01 1.48649577e-05]
[-0.5 -1.5],[0.16288539 0.05436021 0.76445826 0.01829614]
[ 0.5 -1.5],[0.33532368 0.01952078 0.64515554 0.        ]
[ 1.5 -1.5],[0.79701991 0.20298009 0.         0.        ]
[ 2.5 -1.5],[0.46000369 0.00899312 0.45102708 0.07997611]
[ 3.5 -1.5],[0.93665776 0.         0.         0.06334224]
[ 4.5 -1.5],[0.52245354 0.20011669 0.         0.27742977]
[-4.5 -0.5],[0.17202507 0.43527416 0.38253004 0.01017073]
[-3.5 -0.5],[0.04146235 0.5234955  0.43504215 0.        ]
[-2.5 -0.5],[3.45369665e-02 9.27177108e-01 1.73298347e-05 3.82685952e-02]
[-1.5 -0.5],[0.01942047 0.09909552 0.86036232 0.0211217 ]
[-0.5 -0.5],[0.18183121 0.04512344 0.74962079 0.02342457]
[ 0.5 -0.5],[0.40221097 0.01878502 0.54834045 0.03066356]
[ 1.5 -0.5],[9.45996029e-01 4.55730205e-04 5.35482406e-02 0.00000000e+00]
[ 2.5 -0.5],[0.78052682 0.03280112 0.         0.18667206]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.         0.         0.50583158 0.49416842]
[-4.5  0.5],[0.08359806 0.49125946 0.40801349 0.01712898]
[-3.5  0.5],[0.04251992 0.00135547 0.90666724 0.04945736]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[8.89909935e-06 8.63084592e-02 8.92739137e-01 2.09435047e-02]
[-0.5  0.5],[0.20887072 0.03314756 0.73380677 0.02417494]
[0.5 0.5],[0.54141516 0.         0.42558413 0.03300071]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[0.         0.         0.94330617 0.05669383]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.        0.        0.9803907 0.0196093]
[-4.5  1.5],[0.06930982 0.93069018 0.         0.        ]
[-3.5  1.5],[0.01724969 0.95619676 0.         0.02655355]
[-2.5  1.5],[1.77037138e-02 9.81025357e-01 7.13445823e-04 5.57483537e-04]
[-1.5  1.5],[0.0183686  0.07096405 0.89044977 0.02021758]
[-0.5  1.5],[0.25367766 0.01930577 0.70252134 0.02449522]
[0.5 1.5],[0.9386493  0.02133659 0.         0.04001411]
[1.5 1.5],[0.93208047 0.06354534 0.00437419 0.        ]
[2.5 1.5],[0.84821443 0.08842875 0.06335682 0.        ]
[3.5 1.5],[0.7607902  0.1053911  0.07110987 0.06270883]
[4.5 1.5],[0.57572655 0.31690916 0.03143191 0.07593238]
[-4.5  2.5],[1. 0. 0. 0.]
[-3.5  2.5],[1. 0. 0. 0.]
[-2.5  2.5],[1. 0. 0. 0.]
[-1.5  2.5],[9.05416551e-06 5.59717279e-02 9.23837880e-01 2.01813375e-02]
[-0.5  2.5],[3.21976689e-01 3.05915902e-05 6.52283541e-01 2.57091785e-02]
[0.5 2.5],[1. 0. 0. 0.]
[1.5 2.5],[1. 0. 0. 0.]
[2.5 2.5],[1. 0. 0. 0.]
[3.5 2.5],[1. 0. 0. 0.]
[4.5 2.5],[0.         0.10575442 0.09180628 0.8024393 ]
[-4.5  3.5],[1. 0. 0. 0.]
[-3.5  3.5],[1. 0. 0. 0.]
[-2.5  3.5],[1. 0. 0. 0.]
[-1.5  3.5],[0.         0.0395205  0.94097055 0.01950895]
[-0.5  3.5],[4.55677027e-01 2.46465002e-05 5.16674248e-01 2.76240790e-02]
[0.5 3.5],[1. 0. 0. 0.]
[1.5 3.5],[1. 0. 0. 0.]
[2.5 3.5],[1. 0. 0. 0.]
[3.5 3.5],[1. 0. 0. 0.]
[4.5 3.5],[0. 0. 0. 1.]
[-4.5  4.5],[1. 0. 0. 0.]
[-3.5  4.5],[1. 0. 0. 0.]
[-2.5  4.5],[1. 0. 0. 0.]
[-1.5  4.5],[1. 0. 0. 0.]
[-0.5  4.5],[0.83132462 0.         0.13376699 0.0349084 ]
[0.5 4.5],[1. 0. 0. 0.]
[1.5 4.5],[1. 0. 0. 0.]
[2.5 4.5],[1. 0. 0. 0.]
[3.5 4.5],[1. 0. 0. 0.]
[4.5 4.5],[0. 0. 0. 1.]
