[-4.5 -4.5],[0.06655452 0.03856356 0.82832739 0.06655452]
[-3.5 -4.5],[4.60334687e-01 3.48106424e-04 4.06985536e-01 1.32331671e-01]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.00115901 0.05520724 0.84194285 0.1016909 ]
[-0.5 -4.5],[0.46897401 0.01924515 0.37807686 0.13370397]
[ 0.5 -4.5],[0.82048109 0.         0.08732755 0.09219136]
[ 1.5 -4.5],[0.69119912 0.19899018 0.06258566 0.04722504]
[ 2.5 -4.5],[0.75071974 0.         0.         0.24928026]
[ 3.5 -4.5],[0.80314836 0.15643785 0.04041379 0.        ]
[ 4.5 -4.5],[0.67889096 0.16055452 0.         0.16055452]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[9.38880582e-01 1.81463505e-02 4.52109750e-06 4.29685460e-02]
[-2.5 -3.5],[9.63922958e-01 1.82653764e-02 1.78102711e-02 1.39476687e-06]
[-1.5 -3.5],[9.60067495e-01 1.78122023e-02 4.92580115e-04 2.16277223e-02]
[-0.5 -3.5],[0.93650258 0.         0.01923414 0.04426328]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[0. 0. 0. 1.]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[3.74140764e-06 0.00000000e+00 1.81887005e-02 9.81807558e-01]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[2.01868441e-05 9.40620637e-05 3.67108551e-02 9.63174896e-01]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[0.         0.0203513  0.93906261 0.04058609]
[ 3.5 -2.5],[0.         0.         0.22010521 0.77989479]
[ 4.5 -2.5],[0.38867221 0.39297001 0.13154895 0.08680883]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[1.80848598e-05 1.88910486e-02 1.85680281e-02 9.62522838e-01]
[-1.5 -1.5],[0.92608804 0.03720899 0.03670296 0.        ]
[-0.5 -1.5],[0.47006652 0.0188675  0.03684147 0.47422451]
[ 0.5 -1.5],[0.92511036 0.01748537 0.05740427 0.        ]
[ 1.5 -1.5],[0.82174638 0.03644876 0.13313686 0.008668  ]
[ 2.5 -1.5],[0.74790712 0.04416076 0.02093755 0.18699457]
[ 3.5 -1.5],[0.89121353 0.10308953 0.00569694 0.        ]
[ 4.5 -1.5],[0.66698198 0.         0.         0.33301802]
[-4.5 -0.5],[0.11156287 0.74435204 0.14408509 0.        ]
[-3.5 -0.5],[0.02330261 0.95449115 0.02220624 0.        ]
[-2.5 -0.5],[0.018167   0.03748392 0.         0.94434907]
[-1.5 -0.5],[0.46732748 0.03730444 0.01889873 0.47646936]
[-0.5 -0.5],[0.46865338 0.02814618 0.0281503  0.47505014]
[ 0.5 -0.5],[0.62031487 0.02241157 0.03739105 0.31988251]
[ 1.5 -0.5],[0.70449137 0.00251659 0.         0.29299204]
[ 2.5 -0.5],[0.76917801 0.02681844 0.18909719 0.01490636]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0. 0.06203195 0.25035758 0.68761047]
[-4.5  0.5],[0.14723133 0.44245596 0.         0.41031271]
[-3.5  0.5],[0.05675822 0.         0.00303921 0.94020257]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[4.31163096e-06 5.54080076e-02 1.98344329e-02 9.24753248e-01]
[-0.5  0.5],[0.31557354 0.03615059 0.02542455 0.62285131]
[0.5 0.5],[0.48385084 0.         0.03315776 0.4829914 ]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[0. 0. 0. 1.]
[3.5 0.5],[1. 0. 0. 0.]
