[-4.5 -4.5],[0.26043538 0.35494942 0.12417983 0.26043538]
[-3.5 -4.5],[0.17708539 0.48965873 0.33325588 0.        ]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.         0.18875379 0.7733794  0.03786681]
[-0.5 -4.5],[0.06301441 0.03628372 0.74645144 0.15425043]
[ 0.5 -4.5],[0.80053744 0.04062042 0.         0.15884214]
[ 1.5 -4.5],[0.71818686 0.13688185 0.00534496 0.13958633]
[ 2.5 -4.5],[0.15085999 0.0785809  0.62022234 0.15033676]
[ 3.5 -4.5],[0.28542604 0.02810794 0.54366759 0.14279844]
[ 4.5 -4.5],[0.78885238 0.10555391 0.         0.1055937 ]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[0.25954429 0.06068387 0.32894559 0.35082624]
[-2.5 -3.5],[0.         0.42458787 0.57541213 0.        ]
[-1.5 -3.5],[0.34651137 0.62898289 0.         0.02450574]
[-0.5 -3.5],[0.0564463  0.         0.92185861 0.02169509]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[0.00094271 0.06786212 0.89577894 0.03541624]
[ 3.5 -3.5],[0.32401    0.00233304 0.63391773 0.03973923]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0.00000000e+00 3.58703814e-03 9.95519051e-01 8.93910704e-04]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.         0.         0.98754745 0.01245255]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[1.01424039e-04 4.80406360e-02 9.27296539e-01 2.45614012e-02]
[ 3.5 -2.5],[0.45880801 0.04315761 0.46344411 0.03459026]
[ 4.5 -2.5],[0.50405078 0.15319084 0.34275838 0.        ]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.01082625 0.54891236 0.41710603 0.02315535]
[-1.5 -1.5],[4.49168816e-02 1.30481003e-01 8.24162607e-01 4.39507853e-04]
[-0.5 -1.5],[0.16717956 0.06562007 0.74404952 0.02315085]
[ 0.5 -1.5],[3.36110868e-01 3.85425620e-02 6.25297925e-01 4.86450093e-05]
[ 1.5 -1.5],[0.57278682 0.03536481 0.39184837 0.        ]
[ 2.5 -1.5],[0.62391839 0.02405165 0.3282606  0.02376937]
[ 3.5 -1.5],[0.92001925 0.0322188  0.         0.04776195]
[ 4.5 -1.5],[0.70374039 0.14416488 0.08836922 0.06372551]
[-4.5 -0.5],[0.         0.82859557 0.         0.17140443]
[-3.5 -0.5],[0.01505399 0.50455419 0.48039183 0.        ]
[-2.5 -0.5],[0.04079708 0.90881799 0.         0.05038492]
[-1.5 -0.5],[0.02427893 0.11873063 0.83046318 0.02652726]
[-0.5 -0.5],[0.18577022 0.05504982 0.7296043  0.02957566]
[ 0.5 -0.5],[0.40006892 0.02411864 0.54056718 0.03524526]
[ 1.5 -0.5],[9.14104988e-01 2.96326764e-02 1.83649283e-05 5.62439705e-02]
[ 2.5 -0.5],[7.44804697e-01 2.29175683e-05 1.87940970e-01 6.72314160e-02]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.         0.20581877 0.45353162 0.34064961]
[-4.5  0.5],[0.1425655  0.44374803 0.29467416 0.11901231]
[-3.5  0.5],[0.10285083 0.04069115 0.68667234 0.16978568]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[0.         0.10423866 0.86895199 0.02680935]
[-0.5  0.5],[0.21126736 0.04081468 0.71770898 0.03020898]
[0.5 0.5],[5.40077963e-01 2.23311372e-05 4.19129337e-01 4.07703684e-02]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[2.45093749e-05 7.45892011e-05 8.82252395e-01 1.17648506e-01]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.         0.08211784 0.90844498 0.00943718]
[-4.5  1.5],[0.29669587 0.38192752 0.         0.32137661]
[-3.5  1.5],[0.06478829 0.86349276 0.         0.07171895]
[-2.5  1.5],[2.00016908e-02 9.78288855e-01 8.26708797e-04 8.82745901e-04]
[-1.5  1.5],[0.0226871  0.08608327 0.86593036 0.02529927]
[-0.5  1.5],[0.25586335 0.02382297 0.68960073 0.03071295]
[0.5 1.5],[9.24816484e-01 2.25484372e-02 3.40354202e-05 5.26010430e-02]
[1.5 1.5],[0.97630052 0.02369948 0.         0.        ]
[2.5 1.5],[9.51498419e-01 2.40109377e-02 3.78510496e-06 2.44868584e-02]
[3.5 1.5],[0.97606484 0.02393516 0.         0.        ]
[4.5 1.5],[0.83730714 0.13989092 0.02280194 0.        ]
[-4.5  2.5],[1. 0. 0. 0.]
[-3.5  2.5],[1. 0. 0. 0.]
[-2.5  2.5],[1. 0. 0. 0.]
[-1.5  2.5],[0.         0.0685905  0.90596379 0.02544571]
[-0.5  2.5],[0.32132352 0.         0.64672286 0.03195363]
[0.5 2.5],[1. 0. 0. 0.]
[1.5 2.5],[1. 0. 0. 0.]
[2.5 2.5],[1. 0. 0. 0.]
[3.5 2.5],[1. 0. 0. 0.]
[4.5 2.5],[0.         0.23059528 0.0066531  0.76275162]
[-4.5  3.5],[1. 0. 0. 0.]
[-3.5  3.5],[1. 0. 0. 0.]
[-2.5  3.5],[1. 0. 0. 0.]
[-1.5  3.5],[0.         0.04895455 0.92672739 0.02431806]
[-0.5  3.5],[4.50097584e-01 1.29412950e-05 5.15827785e-01 3.40616891e-02]
[0.5 3.5],[1. 0. 0. 0.]
[1.5 3.5],[1. 0. 0. 0.]
[2.5 3.5],[1. 0. 0. 0.]
[3.5 3.5],[1. 0. 0. 0.]
[4.5 3.5],[0.         0.19802953 0.05023559 0.75173488]
[-4.5  4.5],[1. 0. 0. 0.]
[-3.5  4.5],[1. 0. 0. 0.]
[-2.5  4.5],[1. 0. 0. 0.]
[-1.5  4.5],[1. 0. 0. 0.]
[-0.5  4.5],[8.08828044e-01 4.73790286e-05 1.48457272e-01 4.26673043e-02]
[0.5 4.5],[1. 0. 0. 0.]
[1.5 4.5],[1. 0. 0. 0.]
[2.5 4.5],[1. 0. 0. 0.]
[3.5 4.5],[1. 0. 0. 0.]
[4.5 4.5],[0.         0.00686923 0.00686923 0.98626154]
