[-4.5 -4.5],[0.31211029 0.1871781  0.18860132 0.31211029]
[-3.5 -4.5],[0.27306482 0.13946232 0.37561541 0.21185746]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.03048962 0.         0.96951038 0.        ]
[-0.5 -4.5],[0.27588432 0.55846883 0.         0.16564685]
[ 0.5 -4.5],[0.43596101 0.25216524 0.06496217 0.24691158]
[ 1.5 -4.5],[0.15694284 0.29751213 0.17750694 0.36803809]
[ 2.5 -4.5],[0.24181546 0.42386795 0.10640075 0.22791584]
[ 3.5 -4.5],[0.12237845 0.22995085 0.38673778 0.26093292]
[ 4.5 -4.5],[0.36915735 0.25479561 0.12125143 0.25479561]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[0.27724881 0.         0.279139   0.44361219]
[-2.5 -3.5],[0.03578606 0.02720299 0.93701096 0.        ]
[-1.5 -3.5],[0.43713604 0.         0.21328363 0.34958033]
[-0.5 -3.5],[0. 1. 0. 0.]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[0. 0. 1. 0.]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0.18276936 0.         0.42686505 0.39036559]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.04530061 0.03994332 0.82867562 0.08608045]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[0.         0.16997193 0.83002807 0.        ]
[ 3.5 -2.5],[0.40545118 0.02028728 0.56694198 0.00731955]
[ 4.5 -2.5],[1. 0. 0. 0.]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.         0.48167293 0.51832707 0.        ]
[-1.5 -1.5],[0.07354045 0.15505224 0.77140731 0.        ]
[-0.5 -1.5],[0.17954746 0.09987302 0.68730658 0.03327293]
[ 0.5 -1.5],[3.22169974e-01 7.62372829e-02 6.01138329e-01 4.54414170e-04]
[ 1.5 -1.5],[0.41682973 0.06985084 0.51001267 0.00330675]
[ 2.5 -1.5],[0.46191565 0.04775836 0.45700128 0.03332471]
[ 3.5 -1.5],[0.7124736  0.18746281 0.         0.10006359]
[ 4.5 -1.5],[1. 0. 0. 0.]
[-4.5 -0.5],[0.         0.43091823 0.3454661  0.22361567]
