[-4.5 -4.5],[0. 1. 0. 0.]
[-3.5 -4.5],[0. 0. 1. 0.]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.         0.44632925 0.55367075 0.        ]
[-0.5 -4.5],[0.06282305 0.0939468  0.62322446 0.22000569]
[ 0.5 -4.5],[0.47925834 0.32756923 0.00456076 0.18861167]
[ 1.5 -4.5],[0.11110887 0.69449118 0.00176229 0.19263766]
[ 2.5 -4.5],[0.05332272 0.14259103 0.61153156 0.19255469]
[ 3.5 -4.5],[0.25976018 0.04669405 0.50129493 0.19225084]
[ 4.5 -4.5],[0.79619052 0.10190474 0.         0.10190474]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[0. 1. 0. 0.]
[-2.5 -3.5],[0.07767417 0.13130338 0.79102245 0.        ]
[-1.5 -3.5],[0.05427191 0.86473155 0.         0.08099653]
[-0.5 -3.5],[0.07032085 0.01814317 0.85397992 0.05755606]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[2.18019092e-04 1.17020444e-01 8.22149960e-01 6.06115761e-02]
[ 3.5 -3.5],[3.16700070e-01 4.28005230e-04 6.09053809e-01 7.38181159e-02]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0. 0. 1. 0.]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.01218236 0.00613371 0.94833198 0.03335196]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[5.38086159e-05 8.66973252e-02 8.68163501e-01 4.50853657e-02]
[ 3.5 -2.5],[0.42730097 0.07791937 0.43391078 0.06086889]
[ 4.5 -2.5],[4.75556085e-01 1.92415954e-01 3.31679946e-01 3.48015823e-04]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.00453031 0.43540607 0.46866598 0.09139764]
[-1.5 -1.5],[0.0524007  0.50348686 0.44411243 0.        ]
[-0.5 -1.5],[0.06720149 0.42783401 0.46587814 0.03908636]
[ 0.5 -1.5],[8.70840437e-02 3.26037687e-01 5.86821255e-01 5.70139061e-05]
[ 1.5 -1.5],[1.13676767e-01 1.06194063e-01 7.80120667e-01 8.50333332e-06]
[ 2.5 -1.5],[0.34892899 0.04334157 0.56504777 0.04268167]
[ 3.5 -1.5],[8.54853493e-01 5.96219736e-02 1.00543570e-04 8.54239897e-02]
[ 4.5 -1.5],[0.62123141 0.19232253 0.07468404 0.11176202]
[-4.5 -0.5],[0.1936559  0.53265796 0.27368614 0.        ]
[-3.5 -0.5],[2.01051736e-01 7.98269233e-01 6.79031119e-04 0.00000000e+00]
[-2.5 -0.5],[0.06495685 0.81856754 0.         0.11647561]
[-1.5 -0.5],[0.0642012  0.5823862  0.26268634 0.09072626]
[-0.5 -0.5],[0.06370333 0.53929334 0.31746328 0.07954005]
[ 0.5 -0.5],[0.06892993 0.43321454 0.43473259 0.06312294]
[ 1.5 -0.5],[0.08551751 0.07688376 0.79010186 0.04749686]
[ 2.5 -0.5],[4.81781415e-01 5.67129383e-06 4.52640781e-01 6.55721323e-02]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.00134531 0.19248777 0.30649787 0.49966904]
[-4.5  0.5],[0.         0.35637377 0.64362623 0.        ]
[-3.5  0.5],[0.         0.         0.69360134 0.30639866]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[0.00614333 0.69904427 0.16503989 0.12977252]
[-0.5  0.5],[0.05438932 0.72780874 0.10191126 0.11589068]
[0.5 0.5],[0.05054827 0.78638932 0.07750252 0.0855599 ]
[1.5 0.5],[1. 0. 0. 0.]
[2.5 0.5],[8.40956819e-01 1.65728009e-05 7.71701538e-02 8.18564541e-02]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.         0.18615316 0.68819614 0.1256507 ]
[-4.5  1.5],[0.21534467 0.78465533 0.         0.        ]
[-3.5  1.5],[0.05343388 0.84305722 0.         0.1035089 ]
