[-4.5 -4.5],[0.0790635  0.42087574 0.42099726 0.0790635 ]
[-3.5 -4.5],[0.05966678 0.         0.78214401 0.1581892 ]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[1.64090500e-05 4.45560583e-01 3.96748856e-01 1.57674152e-01]
[-0.5 -4.5],[0.05770527 0.03379433 0.752663   0.1558374 ]
[ 0.5 -4.5],[0.79851279 0.0681956  0.         0.13329161]
[ 1.5 -4.5],[0.33775699 0.41702325 0.0247153  0.22050446]
[ 2.5 -4.5],[0.10670882 0.83851635 0.         0.05477483]
[ 3.5 -4.5],[0.         0.06340643 0.8595159  0.07707767]
[ 4.5 -4.5],[0. 0. 1. 0.]
[-4.5 -3.5],[1.58148933e-01 7.82105020e-01 3.34911186e-04 5.94111362e-02]
[-3.5 -3.5],[3.19928496e-02 9.35985473e-01 3.69705657e-05 3.19847066e-02]
[-2.5 -3.5],[2.67473328e-02 3.05833754e-01 6.67417919e-01 9.94408026e-07]
[-1.5 -3.5],[8.18157734e-02 8.54764394e-01 1.21307260e-05 6.34077023e-02]
[-0.5 -3.5],[0.02921121 0.         0.93756161 0.03322719]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[0.         0.         0.85048801 0.14951199]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[1.69011276e-05 2.21130176e-05 9.62483882e-01 3.74771036e-02]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[1.32173808e-05 1.82981855e-05 9.73328870e-01 2.66396140e-02]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[0.         0.21623171 0.78376829 0.        ]
[ 3.5 -2.5],[0.3032073  0.153758   0.46529303 0.07774167]
[ 4.5 -2.5],[0.57976201 0.         0.         0.42023799]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.         0.66837112 0.30562463 0.02600425]
[-1.5 -1.5],[0.03740659 0.55538568 0.40720773 0.        ]
[-0.5 -1.5],[0.04503643 0.45249706 0.47672363 0.02574288]
[ 0.5 -1.5],[5.52174220e-02 3.30294385e-01 6.14467280e-01 2.09136916e-05]
[ 1.5 -1.5],[0.07561861 0.07273909 0.8516423  0.        ]
[ 2.5 -1.5],[0.34469661 0.02920733 0.6029856  0.02311046]
[ 3.5 -1.5],[0.86114309 0.         0.         0.13885691]
[ 4.5 -1.5],[0.         0.91530635 0.08469365 0.        ]
[-4.5 -0.5],[0.18072607 0.48144537 0.28330694 0.05452163]
[-3.5 -0.5],[0.0269242  0.91422851 0.05884729 0.        ]
[-2.5 -0.5],[2.72292518e-02 8.90926249e-01 4.67691279e-05 8.17977301e-02]
[-1.5 -0.5],[0.02810962 0.65019652 0.26029136 0.06140249]
[-0.5 -0.5],[0.03846951 0.5831996  0.32586887 0.05246202]
