[-4.5 -4.5],[0.11587126 0.76825749 0. 0.11587126]
[-3.5 -4.5],[0. 1. 0. 0.]
[-2.5 -4.5],[1. 0. 0. 0.]
[-1.5 -4.5],[0.        0.8681887 0.        0.1318113]
[-0.5 -4.5],[0.06116997 0.72601695 0.03583835 0.17697473]
[ 0.5 -4.5],[0.07726782 0.71403463 0.01263356 0.196064  ]
[ 1.5 -4.5],[0.05583843 0.76869174 0.0110858  0.16438403]
[ 2.5 -4.5],[0.03954743 0.09264544 0.67850418 0.18930296]
[ 3.5 -4.5],[0.41854376 0.04252787 0.34740263 0.19152574]
[ 4.5 -4.5],[8.24671386e-01 8.73629341e-02 6.02745979e-04 8.73629341e-02]
[-4.5 -3.5],[1. 0. 0. 0.]
[-3.5 -3.5],[0.08058192 0.53455763 0.18082637 0.20403408]
[-2.5 -3.5],[0. 1. 0. 0.]
[-1.5 -3.5],[0.07890801 0.62882167 0.1454959  0.14677442]
[-0.5 -3.5],[0.08536669 0.         0.12953282 0.78510049]
[ 0.5 -3.5],[1. 0. 0. 0.]
[ 1.5 -3.5],[1. 0. 0. 0.]
[ 2.5 -3.5],[1. 0. 0. 0.]
[ 3.5 -3.5],[0.81945139 0.         0.07762669 0.10292192]
[ 4.5 -3.5],[1. 0. 0. 0.]
[-4.5 -2.5],[1. 0. 0. 0.]
[-3.5 -2.5],[1. 0. 0. 0.]
[-2.5 -2.5],[0.         0.         0.27260547 0.72739453]
[-1.5 -2.5],[1. 0. 0. 0.]
[-0.5 -2.5],[0.         0.         0.39891099 0.60108901]
[ 0.5 -2.5],[1. 0. 0. 0.]
[ 1.5 -2.5],[1. 0. 0. 0.]
[ 2.5 -2.5],[4.13183327e-06 8.27225249e-02 4.42319576e-02 8.73041386e-01]
[ 3.5 -2.5],[0.43104027 0.0502816  0.05987087 0.45880726]
[ 4.5 -2.5],[7.08448447e-01 1.89189139e-01 1.02349924e-01 1.24902063e-05]
[-4.5 -1.5],[1. 0. 0. 0.]
[-3.5 -1.5],[1. 0. 0. 0.]
[-2.5 -1.5],[0.         0.68321824 0.19213253 0.12464923]
[-1.5 -1.5],[0.09622321 0.71976112 0.18324939 0.00076628]
[-0.5 -1.5],[0.04239671 0.71506668 0.14246619 0.10007041]
[ 0.5 -1.5],[5.00745355e-02 8.29375594e-01 1.20392117e-01 1.57753751e-04]
[ 1.5 -1.5],[4.29761116e-02 8.75287529e-01 8.16429788e-02 9.33803663e-05]
[ 2.5 -1.5],[0.04073951 0.11199881 0.04074016 0.80652152]
[ 3.5 -1.5],[0.31842308 0.08594435 0.         0.59563257]
[ 4.5 -1.5],[0.41500118 0.18896186 0.04731649 0.34872047]
[-4.5 -0.5],[0. 1. 0. 0.]
[-3.5 -0.5],[0.27304112 0.16391947 0.241593   0.32144641]
[-2.5 -0.5],[0.         0.67928266 0.00954053 0.3111768 ]
[-1.5 -0.5],[0.0468016  0.63848024 0.1187496  0.19596857]
[-0.5 -0.5],[0.05793001 0.59599748 0.09763253 0.24843998]
[ 0.5 -0.5],[0.05960115 0.56218844 0.0823454  0.295865  ]
[ 1.5 -0.5],[0.06344275 0.43674378 0.06295506 0.43685841]
[ 2.5 -0.5],[8.16674337e-02 9.11516870e-05 4.27053814e-02 8.75536033e-01]
[ 3.5 -0.5],[1. 0. 0. 0.]
[ 4.5 -0.5],[0.         0.19226072 0.05264788 0.7550914 ]
[-4.5  0.5],[0.68242592 0.         0.31757408 0.        ]
[-3.5  0.5],[0. 0. 0. 1.]
[-2.5  0.5],[1. 0. 0. 0.]
[-1.5  0.5],[0.         0.59377812 0.06400422 0.34221765]
[-0.5  0.5],[0.06271543 0.49851959 0.07853818 0.3602268 ]
[0.5 0.5],[0.07141998 0.43028595 0.06467655 0.43361752]
[1.5 0.5],[0.0828839  0.29633615 0.05431718 0.56646277]
[2.5 0.5],[1.20328321e-01 3.27800951e-04 4.45533863e-02 8.34790491e-01]
[3.5 0.5],[1. 0. 0. 0.]
[4.5 0.5],[0.         0.20805824 0.04513593 0.74680583]
[-4.5  1.5],[0.25501696 0.         0.44270768 0.30227536]
[-3.5  1.5],[0.06247215 0.40700271 0.46929661 0.06122853]
[-2.5  1.5],[0.25405136 0.50354849 0.12880763 0.11359251]
[-1.5  1.5],[0.09843732 0.50328189 0.070391   0.32788978]
[-0.5  1.5],[0.06944832 0.42956641 0.04088508 0.46010018]
[0.5 1.5],[0.08644394 0.36036054 0.00311132 0.55008419]
[1.5 1.5],[0.09853369 0.24291497 0.00224687 0.65630448]
[2.5 1.5],[0.14738775 0.05135767 0.00094846 0.80030612]
[3.5 1.5],[0.69235115 0.30643683 0.         0.00121202]
[4.5 1.5],[0.10507047 0.18454684 0.04948116 0.66090153]
[-4.5  2.5],[1. 0. 0. 0.]
[-3.5  2.5],[1. 0. 0. 0.]
[-2.5  2.5],[1. 0. 0. 0.]
[-1.5  2.5],[0.         0.3687216  0.05301796 0.57826044]
[-0.5  2.5],[0.20728105 0.         0.09451039 0.69820856]
[0.5 2.5],[1. 0. 0. 0.]
[1.5 2.5],[1. 0. 0. 0.]
[2.5 2.5],[1. 0. 0. 0.]
[3.5 2.5],[1. 0. 0. 0.]
[4.5 2.5],[0.         0.22387221 0.02048692 0.75564087]
[-4.5  3.5],[1. 0. 0. 0.]
[-3.5  3.5],[1. 0. 0. 0.]
[-2.5  3.5],[1. 0. 0. 0.]
[-1.5  3.5],[0.         0.21500771 0.         0.78499229]
